District,Municipality_Name,Municipality_Type,Area_SqKm,Population,Contact_Email,Contact_Phone
KAITHAL,Cheeka,COMMITTEE,31.05,43672,secymc.cheeka@hry.nic.in,18008900929
KAITHAL,Kalayat,COMMITTEE,12.68,21095,secymc.kalayat@hry.nic.in,18008900929
KAITHAL,Pundri,COMMITTEE,27.68,22578,secymc.pundri@hry.nic.in,18008900929
KARNAL,Karnal,CORPORATION,90.92,411819,cmc.karnal@hry.nic.in,18008900929
KARNAL,Assandh,COMMITTEE,7.54,32785,secymc.assandh@gmail.com,18008900929
KARNAL,Gharaunda,COMMITTEE,18.36,44455,secymc.gharaunda@hry.nic.in,18008900929
KARNAL,Indri,COMMITTEE,1.88,19820,secymc.indri@gmail.com,18008900929
KARNAL,Nilokheri,COMMITTEE,5.08,20188,secretarymcnilokheri@gmail.com,18008900929
KARNAL,Nissing,COMMITTEE,4.70,19897,secymc.nissing@yahoo.com,18008900929
KARNAL,Taraori,COMMITTEE,5.81,29311,secymc.tarauri@hry.nic.in,18008900929
KURUKSHETRA,Thaneser,COUNCIL,32.50,181565,eomc.thanesar@hry.nic.in,18008900929
KURUKSHETRA,Ismailabad,COMMITTEE,11.98,15400,secymc.ismailabad@hry.nic.in,18008900929
KURUKSHETRA,Ladwa,COMMITTEE,7.98,31835,secymc.ladwa@hry.nic.in,18008900929
KURUKSHETRA,Pehowa,COMMITTEE,13.10,43769,secymc.pehowa@hry.nic.in,18008900929
KURUKSHETRA,Shahabad,COMMITTEE,11.83,45612,secymc.shahabad@hry.nic.in,18008900929
MAHENDRAGARH,Narnaul,COUNCIL,57.64,104924,eomcnarnaul@gmail.com,18008900929
MAHENDRAGARH,Ateli Mandi,COMMITTEE,7.27,7494,secy.mcateli@gmail.com,18008900929
MAHENDRAGARH,Kanina,COMMITTEE,4.39,15018,mckanina@gmail.com,18008900929
MAHENDRAGARH,Mahendergarh,COMMITTEE,8.97,32281,secymc.mohindergarh@hry.nic.in,18008900929
MAHENDRAGARH,Nangal Chaudhary,COMMITTEE,14.60,15131,secy.mc.nangalchoudhary@gmail.com,18008900929
NUH,Nuh,COUNCIL,7.21,26015,eomc.nuh@hry.nic.in,18008900929
NUH,Firozpur Zhirka,COMMITTEE,5.69,32278,secymc.firozpurzhirka@hry.nic.in,18008900929
NUH,Punhana,COMMITTEE,10.19,32813,secymc.punhana@hry.nic.in,18008900929
NUH,Tauru,COMMITTEE,11.18,27490,secymc.tauru@hry.nic.in,18008900929
PANCHKULA,Panchkula,CORPORATION,96.21,298949,cmc.panchkula@hry.nic.in,18008900929
PANCHKULA,Kalka,COUNCIL,56.94,135895,eomc.kalka@hry.nic.in,18008900929
PANIPAT,Panipat,CORPORATION,60.47,696189,cmc.panipat@hry.nic.in,18008900929
PANIPAT,Samalkha,COUNCIL,10.54,48919,eomc.samalkha@hry.nic.in,18008900929
PALWAL,Palwal,COUNCIL,59.17,234284,eomc.palwal@hry.nic.in,18008900929
PALWAL,Hodal,COUNCIL,39.89,75380,eomc.hodal@hry.nic.in,18008900929
PALWAL,Hathin,COMMITTEE,4.10,19719,secymc.hathin@hry.nic.in,18008900929
REWARI,Rewari,COUNCIL,25.78,151769,eomc.rewari@hry.nic.in,18008900929
REWARI,Bawal,COMMITTEE,3.76,19241,secymc.bawal@hry.nic.in,18008900929
REWARI,Dharuhera,COMMITTEE,11.51,34557,secymc.dharuhera@hry.nic.in,18008900929
ROHTAK,Rohtak,CORPORATION,100.00,464146,cmc-rohtak@ulbharyana.gov.in,18008900929
ROHTAK,Kalanaur,COMMITTEE,6.92,27115,secymc.kalanaur@hry.nic.in,18008900929
ROHTAK,Meham,COMMITTEE,4.49,24571,secymc.meham@hry.nic.in,18008900929
